Date,High,Low,Open,Close,Volume,Adj Close
2019/7/15,40.91999817,34.09999847,34.09999847,40.91999817,28900,40.91999817
2019/7/16,45.00999832,45.00999832,45.00999832,45.00999832,10800,45.00999832
2019/7/17,49.50999832,49.50999832,49.50999832,49.50999832,14600,49.50999832
2019/7/18,54.45999908,54.45999908,54.45999908,54.45999908,45700,54.45999908
2019/7/19,59.90999985,59.90999985,59.90999985,59.90999985,45200,59.90999985
2019/7/22,65.90000153,65.90000153,65.90000153,65.90000153,74066,65.90000153
2019/7/23,72.48999786,72.48999786,72.48999786,72.48999786,96425,72.48999786
2019/7/24,79.73999786,79.73999786,79.73999786,79.73999786,52300,79.73999786
2019/7/25,87.70999908,87.70999908,87.70999908,87.70999908,155825,87.70999908
2019/7/26,96.48000336,96.48000336,96.48000336,96.48000336,162933,96.48000336
2019/7/29,106.1299973,106.1299973,106.1299973,106.1299973,128994,106.1299973
2019/7/30,116.7399979,116.7399979,116.7399979,116.7399979,130736,116.7399979
2019/7/31,128.4100037,128.4100037,128.4100037,128.4100037,152919,128.4100037
2019/8/1,141.25,141.25,141.25,141.25,2867406,141.25
2019/8/2,149.9799957,138.2200012,141.9700012,139.6799927,10438170,139.6799927
2019/8/5,131.9900055,125.7099991,130,125.7099991,2396925,125.7099991
2019/8/6,122.1699982,113.1399994,113.1399994,115.5,6512862,115.5
2019/8/7,116.6600037,105.0800018,116.1200027,105.1900024,5781032,105.1900024
2019/8/8,108.1500015,102.5,104.5500031,105.2200012,3835954,105.2200012
2019/8/9,106.8700027,96.30000305,105.7699966,97.87000275,4424664,97.87000275
2019/8/12,99.19999695,96.5,97.76999664,98.98999786,2826018,98.98999786
2019/8/13,98.69999695,93.59999847,98,97.34999847,3347096,97.34999847
2019/8/14,99.65000153,94.02999878,99.5,95.09999847,3048170,95.09999847
2019/8/15,94.58999634,90.05000305,91.23999786,93.77999878,2870314,93.77999878
2019/8/16,97.5,93.36000061,93.87999725,93.80000305,3144429,93.80000305
2019/8/19,96.80000305,92.11000061,94.83999634,96.12999725,2723446,96.12999725
2019/8/20,103.8199997,94.80000305,95.63999939,102.5,4119848,102.5
2019/8/21,101.9499969,98,100.0299988,98.33000183,2688493,98.33000183
2019/8/22,101.7699966,95.5,97.80999756,95.90000153,2161296,95.90000153
2019/8/23,98.5,93.11000061,95.04000092,95.84999847,2089990,95.84999847
2019/8/26,94.26000214,91.80000305,92.80000305,92.91999817,1441032,92.91999817
2019/8/27,95.44000244,93,93.54000092,94.06999969,1485301,94.06999969
2019/8/28,101.9800034,97,97,98.80000305,3041978,98.80000305
2019/8/29,97.90000153,95.26000214,97.90000153,95.48999786,1997468,95.48999786
2019/8/30,96.84999847,91,96.19999695,91.19999695,2703311,91.19999695
2019/9/2,93.5,90.48000336,90.77999878,93.23000336,1534126,93.23000336
2019/9/3,97.77999878,92.41000366,92.93000031,96.41999817,2349364,96.41999817
2019/9/4,106.0599976,95.61000061,95.95999908,106.0500031,5529298,106.0500031
2019/9/5,106.4599991,101.8000031,103.5899963,105,4302793,105
2019/9/6,106.8300018,101.2200012,106.0100021,102.0999985,2345599,102.0999985
2019/9/9,112.2200012,102.5999985,102.5999985,110.7200012,3636382,110.7200012
2019/9/10,121.7900009,108,108.6800003,119.9499969,3765588,119.9499969
2019/9/11,121.5,114.5,118.0500031,116.8499985,2759891,116.8499985
2019/9/12,128.1000061,112.5500031,115.5800018,125.1999969,3533349,125.1999969
2019/9/16,136.8699951,125.2799988,125.2900009,129.9499969,3621314,129.9499969
2019/9/17,134.9799957,127.1500015,128.5099945,129.8999939,3069576,129.8999939
2019/9/18,131.7899933,123.0999985,130.3999939,125.8000031,2658083,125.8000031
2019/9/19,138.3800049,123.5100021,127,138.3800049,3333762,138.3800049
2019/9/20,144.4100037,134,137.1900024,134.6000061,4204943,134.6000061
2019/9/23,139.7799988,133.1300049,133.8000031,136.2200012,2762481,136.2200012
2019/9/24,144.1399994,134.5,136.7700043,142.5500031,2837516,142.5500031
2019/9/25,148.5899963,140.5399933,140.5399933,148,3154019,148
2019/9/26,148.9700012,133.1999969,148.8800049,133.1999969,3413754,133.1999969
2019/9/27,130.5,120.1800003,127.1200027,124.1399994,3021008,124.1399994
2019/9/30,127.7699966,114.4400024,123.9800034,116.6999969,2440390,116.6999969
2019/10/8,121.0999985,113,118.2900009,117.8899994,1818470,117.8899994
2019/10/9,119.8000031,114,116.3000031,116.5100021,1258500,116.5100021
2019/10/10,123.9899979,116.3000031,117,122.0100021,1956150,122.0100021
2019/10/11,122.3000031,116.5100021,120.3199997,118.1200027,1892660,118.1200027
2019/10/14,123.0100021,118,118.8799973,120.0100021,1703050,120.0100021
2019/10/15,128.8999939,120.6500015,122.8799973,126.5,2562830,126.5
2019/10/16,138,128.5,128.5,137.1900024,2382119,137.1900024
2019/10/17,138.5,133.9299927,136.4700012,137.5,1884720,137.5
2019/10/18,141,133,135.9100037,135.6199951,2104850,135.6199951
2019/10/21,133.0500031,122.0599976,133.0099945,122.0599976,1946216,122.0599976
2019/10/22,125,116.0599976,122.6800003,123.0599976,1807717,123.0599976
2019/10/23,125.3099976,119.5,120.4199982,120.4599991,1505671,120.4599991
2019/10/24,122.8700027,118.5100021,121.3600006,121.8300018,1331200,121.8300018
2019/10/25,134.0099945,121.8000031,122.9800034,134.0099945,3546484,134.0099945
2019/10/28,134.8699951,128.3600006,130,134.1100006,2897636,134.1100006
2019/10/29,147.3300018,132.8999939,133,137.0099945,3171211,137.0099945
2019/10/30,145,134.4400024,139.8999939,145,2333615,145
2019/10/31,144.4900055,130.5,141,130.5,3036870,130.5
2019/11/1,140.3800049,131.0099945,132,140,2276964,140
2019/11/4,143.9199982,137.0099945,138,138.5899963,2260047,138.5899963
2019/11/5,139.9299927,133.8000031,138.9799957,137,1939960,137
2019/11/6,139.4799957,123.3399963,137.0599976,126.7300034,3042171,126.7300034
2019/11/7,128.6799927,122.0899963,124.75,127.2200012,1502160,127.2200012
2019/11/8,136,124.6600037,128,133.2100067,2526076,133.2100067
2019/11/11,134.1000061,125.25,133,131,1591530,131
2019/11/12,137.9799957,129.5700073,135,131.9199982,1667146,131.9199982
2019/11/13,131.1199951,125.3000031,130.2700043,127.9800034,1352060,127.9800034
2019/11/14,132,127,128.0399933,130.8899994,1319317,130.8899994
2019/11/15,131,124.2200012,130,124.5,1585217,124.5
2019/11/18,127.5,122.1200027,125.8799973,126.9800034,1007812,126.9800034
2019/11/19,128.9799957,125.7799988,128.9799957,127.1999969,1087350,127.1999969
2019/11/20,130.3000031,125.25,127,127.8700027,1341300,127.8700027
2019/11/21,126.0599976,120.2600021,126.0599976,122.5800018,1748738,122.5800018
2019/11/22,122.8799973,112.2600021,121.0699997,115,1940458,115
2019/11/25,116.5,111.8899994,114,113,972813,113
2019/11/26,113.7099991,106.5299988,112.6500015,107.4199982,1431404,107.4199982
2019/11/27,108.8000031,104.6999969,108.3199997,106.6999969,1647876,106.6999969
2019/11/28,108.2799988,104.9800034,106.6999969,107.4300003,1067033,107.4300003
2019/11/29,108.4800034,105.5400009,108.0500031,106.7799988,784633,106.7799988
2019/12/2,107.5,100,107.4899979,103.5999985,1238901,103.5999985
2019/12/3,104.3499985,100.5800018,103.2300034,104.1800003,836600,104.1800003
2019/12/4,107.4599991,103.0699997,104.1399994,106.1999969,1039175,106.1999969
2019/12/5,110,105.8099976,106.8799973,109.0699997,1262300,109.0699997
2019/12/6,111,106.7699966,108.9199982,107.6800003,925000,107.6800003
2019/12/9,109.9000015,107.6999969,109.9000015,108.6200027,787313,108.6200027
2019/12/10,109.9899979,107.2600021,108.6299973,107.9700012,980811,107.9700012
2019/12/11,107.9499969,104.3399963,107.9400024,105.0100021,973492,105.0100021
2019/12/12,107.8000031,105.0199966,105.4300003,105.9499969,876702,105.9499969
2019/12/13,107.9899979,104.2099991,106.9000015,104.4499969,1221100,104.4499969
2019/12/16,107.8499985,103.6600037,105.0100021,107.8499985,1537184,107.8499985
2019/12/17,116.4000015,107.1999969,108.0100021,113.2799988,2203124,113.2799988
2019/12/18,114.4499969,110,113,113.0400009,1487423,113.0400009
2019/12/19,114.4499969,112.5,113.3099976,113.9000015,982085,113.9000015
2019/12/20,117.3600006,113.0999985,113.5,114.9000015,1292001,114.9000015
2019/12/23,114.3799973,109.9800034,114.3799973,109.9800034,1129101,109.9800034
2019/12/24,116.9499969,109.3000031,110.1900024,115.5800018,1239100,115.5800018
2019/12/25,127.1399994,114.5800018,114.5800018,127.1399994,2583673,127.1399994
2019/12/26,139.8500061,126.9899979,128,136.9799957,4097311,136.9799957
2019/12/27,150,136.1000061,137,142,3078705,142
