abbr,cir_cap,cir_val,code,main_scope,net_profit,tot_cap,tot_val
国农科技,8260.46,240131.53,a000004,"生物医药88.66%,移动网络10.95%,其他业务0.39%", 381.60,16505.26,479807.98
万方发展,30940.00,124997.60,a000638,"软件88.13%,金融其他11.87%", -626.93,30940.00,124997.60
顺利办,70720.16,306925.50,a000606,企业互联100.00%, --,76579.94,332356.92
神州信息,96342.05,1436459.93,a000555,"金融41.91%,政企32.09%,运营商18.69%,其他7.31%", 2946.50,97038.13,1446838.48
国新健康,89877.99,937427.47,a000503,服务业100.00%, -7118.24,89882.22,937471.56
常山北明,156991.02,1527522.61,a000158,"软件和信50.47%,纺织业49.53%", -9894.96,159861.67,1555454.07
中嘉博创,62164.37,586210.02,a000889,"通信网络64.76%,信息智能35.24%", -2276.76,66910.19,630963.08
中信国安,391982.64,1015235.03,a000839,"信息及服83.25%,产品销售16.68%,房地产开0.07%", 8147.06,391982.64,1015235.03
长城动漫,30289.50,86022.18,a000835,"游戏行业48.62%,动漫行业38.32%,旅游行业13.06%", -3910.12,32676.04,92799.95
东方电子,97802.27,486077.30,a000682,"自动化行89.16%,非自动化10.84%", 24708.54,134072.70,666341.32
智度股份,65857.61,589425.64,a000676,互联网和100.00%, 32650.43,132600.01,1186770.09
天夏智慧,109298.07,280896.05,a000662,智慧城市100.00%, --,109309.77,280926.12
利欧股份,578734.13,2338085.88,a002131,"互联网业81.39%,制造业18.61%", 30869.38,675480.42,2728940.90
梦网集团,66469.73,1007016.45,a002123,"云通信服65.84%,节能大功34.16%", 18198.23,81575.07,1235862.36
*ST天润,94080.71,115719.27,a002113,"游戏运营77.05%,优易付计22.95%", 11533.97,153269.29,188521.23
生 意 宝,25163.81,472576.33,a002095,"化工贸易65.07%,网络服务34.93%", 3079.21,25272.00,474608.16
启明信息,40269.81,378938.93,a002232,工业信息0.00%, 431.68,40854.85,384444.10
榕基软件,46922.33,335963.86,a002474,信息技术100.00%, -789.83,62220.00,445495.20
赛为智能,52952.12,323007.96,a300044,"大数据领52.00%,智慧城市30.65%,互动娱乐17.35%", 2940.49,79308.95,483784.60
星辉娱乐,91484.93,305559.66,a300043,"游戏业务47.68%,体育业务31.66%,玩具衍生20.66%", 1320.54,124419.84,415562.27
卫宁健康,132787.10,3255939.57,a300253,"医疗卫生99.08%,其他0.92%", 1174.81,164132.37,4024525.83
绿盟科技,72606.39,1402029.39,a300369,"能源及企25.55%,电信运营24.55%,金融20.83%,政府、事29.07%", -6065.65,79811.77,1541165.20
今天国际,16369.59,141760.62,a300532,"烟草57.74%,新能源42.26%", -1743.45,27317.54,236569.91
赛意信息,9443.21,170355.54,a300687,软件服务100.00%, 295.35,21761.18,392571.60
浙数文化,130192.40,1235525.83,a600633,"在线游戏0.00%,技术信息0.00%,商品销售0.00%,其他业务0.00%", 19174.83,130192.40,1235525.83
格尔软件,12126.80,479372.40,a603232,软件行业100.00%, -2713.58,12126.80,479372.40
宝信Ｂ,29744.00,68202.99,a900926,"软件开发77.15%,服务外包13.51%,系统集成9.34%", 27436.01,114037.03,261486.90
云赛Ｂ股,29337.05,14492.50,a900901,"工业61.75%,工程施工17.40%,商业16.86%,物业管理2.01%,公司内各1.98%", 24179.08,136767.35,67563.07
麦迪科技,11200.00,522480.00,a603990,软件和信100.00%, -1642.70,11245.48,524601.53
中科软,4240.00,258852.00,a603927,, -2241.26,42400.00,2588520.00
金桥信息,23116.63,246423.23,a603918,"企事业单63.93%,党政机关36.07%", -849.22,23331.59,248714.79
新华网,51902.94,1324562.93,a603888,"互联网81.23%,移动互联17.10%,减:内部1.67%", -5854.31,51902.94,1324562.93
数据港,21058.65,1398294.41,a603881,"IDC 73.01%,IDC 26.99%", 2931.79,21058.65,1398294.41
新智认知,49792.95,556685.20,a603869,"产品销售50.63%,旅游业务27.00%,系统集成17.80%,软件收入4.57%", -12078.31,50450.05,564031.57
